"File","LineNumber","MatchedText","LooksLikeCode","LineContent"
"soccomm-enhanced.html","229","Bhāva","False","// Bhāva tracking — detect if this is a scenario answer (not nav/back)"
"soccomm-enhanced.html","932","Bhāva","False","// ── Bhāva Menu ───────────────────────────────────────────────────────"
"telugu-script-game.html","365","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"telugu-script-game.html","462","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"telugu-script-game.html","500","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"telugu-script-game.html","1426","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(Math.min(100, Math.round((state.xp / 500) * 100))); } } catch(e) { console.warn('BhavaSession.end:', e.messa ...(truncated)"
"telugu-script-game.html","1556","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"telugu-script-game.html","1651","Bhava","False","<!-- End Bhava Game Menu -->"
"telugu-script-game.html","1654","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"bhava-build-device-engineer\bhava-bridge.js","2","Bhāva","False","* bhava-bridge.js — Compatibility layer for Bhāva Tech"
"bhava-build-device-engineer\bhava-game-nav.js","2","Bhāva","False","// bhava-game-nav.js  — Universal Game Navigation Bar for Bhāva Tech"
"bhava-build-device-engineer\bhava-game-nav.js","170","Bhāva","True","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Bhāva DB…</div>';"
"bhava-build-device-engineer\bhava-game-nav.js","173","Bhava","True","body.innerHTML = '<div class=""bgnav-info"">Bhava IPC not available.<br>Launch from the Electron app.</div>';"
"bhava-build-device-engineer\bhava-responsive.css","2","Bhāva","True","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games"
"bhava-build-device-engineer\bhava-responsive.js","2","Bhāva","True","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games"
"bhava-build-device-engineer\bhava-session.js","1","Bhāva","False","// ── Bhāva Tech — Session Tracker + Game Nav v3 ───────────────────────────────"
"bhava-build-device-engineer\bhava-session.js","406","Bhāva","False",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Bhāva Game';"
"bhava-build-device-engineer\bhava-tech-all.js","2","Bhāva","False","// ║          bhava-tech-all.js — Bhāva Tech                     ║"
"bhava-build-device-engineer\bhava-tech-all.js","12","Bhava","False","/* Bhava Tech — script.js CLEAN BUILD */"
"bhava-build-device-engineer\bhava-tech-all.js","97","Bhava","False","a: 'There are three primary quotients assessed at Bhava Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures sel ...(truncated)"
"bhava-build-device-engineer\bhava-tech-all.js","101","Bhava","False","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of  ...(truncated)"
"bhava-build-device-engineer\bhava-tech-all.js","121","Bhava","False","a: 'Brain Gym at Bhava Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory traini ...(truncated)"
"bhava-build-device-engineer\bhava-tech-all.js","124","Bhava","False","q: 'What methods and techniques does Bhava Tech use?',"
"bhava-build-device-engineer\bhava-tech-all.js","148","Bhava","False","q: 'Can schools and institutions partner with Bhava Tech?',"
"bhava-build-device-engineer\bhava-tech-all.js","186","Bhava","False","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Bhava Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recom ...(truncated)"
"bhava-build-device-engineer\bhava-tech-all.js","188","Bhava","False","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Bhava Tech for 60 students. The reports were professional and the Brain Gym sessions kept children gen ...(truncated)"
"bhava-build-device-engineer\bhava-tech-all.js","296","Bhava","False",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Bhava Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })"
"bhava-build-device-engineer\bhava-tech-all.js","331","Bhava","True","var UPI_NAME = 'Bhava Tech';"
